d_donor_A,d_acceptor_A
1.406124372656923471e+00,1.205504260399863137e+00
1.405247886433244719e+00,1.206189440126631540e+00
1.404368370832344670e+00,1.206876801483534711e+00
1.403485547770578323e+00,1.207566689155736617e+00
1.402599891155893008e+00,1.208258619879575280e+00
1.401712319526337458e+00,1.208951715327795107e+00
1.400823500856484882e+00,1.209645148711648632e+00
1.399933615257080266e+00,1.210338788293438661e+00
1.399042135872755832e+00,1.211033498690942567e+00
1.398148244500409421e+00,1.211729976505857564e+00
1.397252498670706666e+00,1.212427422008672373e+00
1.396355355103259477e+00,1.213125257601919138e+00
1.395456241903294314e+00,1.213823987349301969e+00
1.394554095521059356e+00,1.214525201787289399e+00
1.393649680258882695e+00,1.215228039322211240e+00
1.392743321309956928e+00,1.215932104313695250e+00
1.391834171012433563e+00,1.216638386695929830e+00
1.390922700034522785e+00,1.217346226627228356e+00
1.390008160250226110e+00,1.218056580704325320e+00
1.389089835717164156e+00,1.218770239786214793e+00
1.388168999619376232e+00,1.219485861666912196e+00
1.387245951682623657e+00,1.220203079453730188e+00
1.386319067538918537e+00,1.220923589084530025e+00
1.385389638675547541e+00,1.221645901583477745e+00
1.384456660067105105e+00,1.222371082636285466e+00
1.383520045679229371e+00,1.223099186342939904e+00
1.382580732148291469e+00,1.223829660443552791e+00
1.381638918740649480e+00,1.224562164991348956e+00
1.380693174023443826e+00,1.225297974392431266e+00
1.379744521678483604e+00,1.226036017793570521e+00
1.378792146020285658e+00,1.226777377706274041e+00
1.377836354410546749e+00,1.227521531080230988e+00
1.376877617671606879e+00,1.228268102581963284e+00
1.375916013053425591e+00,1.229016843912277945e+00
1.374950394491968320e+00,1.229769176575949086e+00
1.373981097372542814e+00,1.230524502808461929e+00
1.373008579355482262e+00,1.231282486317601732e+00
1.372033438917349191e+00,1.232042521566972804e+00
1.371054563756447520e+00,1.232805962322968796e+00
1.370073227817224071e+00,1.233571298985559617e+00
1.369088930912325752e+00,1.234339180597561647e+00
1.368101707075834117e+00,1.235109313809642728e+00
1.367110686404497510e+00,1.235882768907672569e+00
1.366116629461880505e+00,1.236658645830979397e+00
1.365119587428119452e+00,1.237437259631292585e+00
1.364120271127803319e+00,1.238217805700247309e+00
1.363118513710794177e+00,1.239000437649115494e+00
1.362114762418170200e+00,1.239784747362429496e+00
1.361109106034152028e+00,1.240570559842693266e+00
1.360102401516853465e+00,1.241356906703003027e+00
1.359092113897211629e+00,1.242146405921914942e+00
1.358078782320563116e+00,1.242938362967153765e+00
1.357061971051839011e+00,1.243733260491255876e+00
1.356041156297983941e+00,1.244531780283395506e+00
1.355016646743113284e+00,1.245333756881242593e+00
1.353989341041214489e+00,1.246138193967242902e+00
1.352957758818100320e+00,1.246946718099376739e+00
1.351922027850289698e+00,1.247759321955047573e+00
1.350883115305393067e+00,1.248574773760393386e+00
1.349839618703783772e+00,1.249394569812630751e+00
1.348792246006004225e+00,1.250217810943476060e+00
1.347741254654214460e+00,1.251044291255068552e+00
1.346686545647230782e+00,1.251874231559785500e+00
1.345627728769505538e+00,1.252708253198893340e+00
1.344566070468983021e+00,1.253544975077442336e+00
1.343500466877701527e+00,1.254385457921309399e+00
1.342431846879141411e+00,1.255228751861925618e+00
1.341359859224624085e+00,1.256075454033510397e+00
1.340283032007069774e+00,1.256926755198368495e+00
1.339201092251411707e+00,1.257782843560566688e+00
1.338115729784340679e+00,1.258642048922943291e+00
1.337026773248758404e+00,1.259504732967253737e+00
1.335934305957111379e+00,1.260370692395941683e+00
1.334837622134360968e+00,1.261240904726980805e+00
1.333737887047413695e+00,1.262113993972312276e+00
1.332634202986139771e+00,1.262991014773743093e+00
1.331527137949847450e+00,1.263871131058990072e+00
1.330416656124122854e+00,1.264754605787523856e+00
1.329302685569238029e+00,1.265641469251247653e+00
1.328183944809788741e+00,1.266532961617738096e+00
1.327062230538739618e+00,1.267427124930886162e+00
1.325937554838514165e+00,1.268324092958019289e+00
1.324810016313466177e+00,1.269223683872045871e+00
1.323679007454815482e+00,1.270126717215558809e+00
1.322544830650167924e+00,1.271032994731942090e+00
1.321406571103401983e+00,1.271943508036250892e+00
1.320265425767809919e+00,1.272856919369811823e+00
1.319120303922404425e+00,1.273774581316194254e+00
1.317970078137214340e+00,1.274697543548534817e+00
1.316815971634794691e+00,1.275624424547293412e+00
1.315658407997164270e+00,1.276554713871261404e+00
1.314496416492961339e+00,1.277489621248692142e+00
1.313331048107135857e+00,1.278427894345110172e+00
1.312161613848504382e+00,1.279370483776675727e+00
1.310988193502284238e+00,1.280317212238704316e+00
1.309811452436577817e+00,1.281267317558715479e+00
1.308631052205096790e+00,1.282221236672154374e+00
1.307446787626725282e+00,1.283179222345492754e+00
1.306258408589206610e+00,1.284141286792820358e+00
1.305065968507860052e+00,1.285107687172297508e+00
1.303868972363791734e+00,1.286079015425579231e+00
1.302668142665714734e+00,1.287054421906656643e+00
1.301463059562908198e+00,1.288034336012982450e+00
1.300253534097855601e+00,1.289018801467993081e+00
1.299038799400574762e+00,1.290008731561309130e+00
1.297819374351152799e+00,1.291003647706325586e+00
1.296594901390213161e+00,1.292003834674994689e+00
1.295365230859652161e+00,1.293009426816670082e+00
1.294130908433560823e+00,1.294020051799546822e+00
1.292891744689012024e+00,1.295035846306228366e+00
1.291646929858766057e+00,1.296057781024192890e+00
1.290397793780167834e+00,1.297084395041794513e+00
1.289144034629167601e+00,1.298115997389475584e+00
1.287885107331599110e+00,1.299152967282011906e+00
1.286622104878395234e+00,1.300194391367471614e+00
1.285356248577803395e+00,1.301238959394578121e+00
1.284085956977867538e+00,1.302288568009591918e+00
1.282811767579377982e+00,1.303342557532473078e+00
